TITLE,URL
This Message Does Not Exist,https://www.kmjn.org/notes/message_existence.html
Repairing my mug with Kintsugi,https://fellerts.no/projects/kintsugi.php
Lisp: Icing or Cake?,https://dthompson.us/posts/lisp-icing-or-cake.html
What I think about Lua after shipping a project with 60k lines of code,https://blog.luden.io/what-do-i-think-about-lua-after-shipping-a-project-with-60-000-lines-of-code-bf72a1328733?gi=8385ed7c6379
Frances Hesselbein's leadership story (2022),https://davidepstein.substack.com/p/year-end-remembrances-part-3-the
What we've learned from a year of building with LLMs,https://eugeneyan.com/writing/llm-lessons/
X is justifiably slow (2022),https://zeux.io/2024/05/31/justifiably-slow/
The Forgotten History of Chinese Keyboards,https://spectrum.ieee.org/chinese-keyboard
ROOT: analyzing petabytes of data scientifically,https://root.cern/
Show HN: I built an interactive cloth solver for Apple Vision Pro,https://www.youtube.com/watch?v=kpD2J85WjzM
